datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
resultats-du-baccalaureat-2014,Résultats du baccalauréat 2014,<p>Résultats du baccalauréat 2014</p>,"Education, Formation, Recherche, Enseignement",,,fr,2014-07-04T15:44:44+00:00,,,OpenDataSoft,http://www.letudiant.fr/resultat/bac/,,301667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evenements-publics-cibul,Evenements Publics - OpenAgenda,<p>Liste des événements publics publiés dans les agendas OpenAgenda.</p>,"Culture, Patrimoine, Sport, Loisirs","concert, théâtre, exposition, salon, manifestation, colloque, compétition, rencontre, art, sport",Open Database License (ODbL),fr,2014-07-16T16:10:59+00:00,2015-07-20T01:00:21+00:00,2015-07-20T06:55:01+00:00,OpenAgenda,https://openagenda.com/,https://certificates.theodi.org/datasets/2665/certificates/15052/,39336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859
natural-earth-countries-1_110m,Natural Earth - Countries 1:110m,"<p>Matched boundary lines and polygons with names attributes for countries and sovereign states. Includes dependencies (French Polynesia), map units (U.S. Pacific Island Territories) and sub-national map subunits (Corsica versus mainland Metropolitan France).</p>","Spatial planning, Town planning, Buildings, Equipment, Housing","Natural Earth, Country, Boundary",Public Domain,en,2014-10-02T08:47:41+00:00,,,Natural Earth,http://www.naturalearthdata.com/downloads/110m-cultural-vectors/110m-admin-0-countries/,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
natural-earth-countries-1_50m,Natural Earth - Countries 1:50m,"<p>Matched boundary lines and polygons with names attributes for countries and sovereign states. Includes dependencies (French Polynesia), map units (U.S. Pacific Island Territories) and sub-national map subunits (Corsica versus mainland Metropolitan France).</p>","Spatial planning, Town planning, Buildings, Equipment, Housing","Natural Earth, Country, Boundary",Public Domain,en,2014-10-02T08:47:41+00:00,,,Natural Earth,http://www.naturalearthdata.com/downloads/110m-cultural-vectors/110m-admin-0-countries/,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
index-de-legalite-des-sexes,Index de l'égalité des sexes,"<p>L'index de l'égalité des sexes est un jeu de données initialement créé par l'<em>European Institute for Gender Equality</em>. Il mesure la distance séparant l'Europe des 27 et ses états membres d'une égalité complète entre les sexes en 2010. L'index fournit des données au niveau de l'Europe des 27 et de ses états membres. </p><p>Cet outil synthétise la complexité du concept d'égalité des sexes en une mesure aisément interrogeable et interprétable. facilement navigable et interprétable.</p><p>Il prend en compte 6 domaines-clés : </p><ol><li>travail</li><li>argent</li><li>connaissance</li><li>temps</li><li>pouvoir</li><li>santé</li></ol><p>Pour cette réutilisation, nous n'avons pas tenu compte de deux domaines satellites ""inégalités croisées"" et ""violence"". N'hésitez pas à consulter le jeu de données original pour explorer ces deux facettes complémentaires. </p><p>L'index attribue à chaque état membre une note située entre 1 (inégalité totale) et 100 (égalité complète). Il attribue également une note à chaque domaine et sous-domaine.</p>","Education, Formation, Recherche, Enseignement, Santé, Égalité des chances, Economie, Business, PME, Développement économique, Emploi","égalité des sexes, travail, santé, éducation, temps, pouvoir, argent",http://ec.europa.eu/geninfo/legal_notices_en.htm,fr,2014-10-02T10:14:47+00:00,,,European Institute for Gender Equality,http://open-data.europa.eu/en/data/dataset/gender-equality-index,,28,,,,,,,2014-10-02,2014-10-02,European Institute for Gender Equality,OpenDataSoft,,,,,,,,,,,,,,,,,,,6
prix-des-carburants-stations-non-modifiees,Prix des carburants - Stations non modifiées,"<div>Les informations sont extraites du système d’information « Prix Carburants ». Elles ont été récupérés via le service <a href=""http://www.prix-carburants.gouv.fr/itineraire/infos/ID_STATION"" target=""_blank"">www.prix-carburants.gouv.fr/itineraire/infos/ID_ST...</a></div> <div><hr/></div><div>Description des champs :</div> <ul><li>Identifiant Station : Identifiant de la station</li><li>Nom : Nom de la station</li><li>Marque : Marque de la station</li></ul>","Transports, Déplacements","Carburant, Prix, Voiture, Station service",Licence Ouverte (Etalab),fr,2014-10-03T07:46:46+00:00,,,Ministère des finances et des comptes publics,http://www.prix-carburants.gouv.fr/rubrique/opendata/,,10965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
prix_des_carburants_stations,Prix des carburants - Stations,"<div>Les informations sont extraites du système d’information « Prix Carburants ». Elles ont été récupérés via le service <a href=""http://www.prix-carburants.gouv.fr/itineraire/infos/ID_STATION"" target=""_blank"">www.prix-carburants.gouv.fr/itineraire/infos/ID_ST...</a></div> <div><hr/></div><div>Description des champs :</div> <ul><li>Identifiant Station : Identifiant de la station</li><li>Nom : Nom de la station</li><li>Marque : Marque de la station</li></ul>","Transports, Déplacements","Carburant, Prix, Voiture, Station service",Licence Ouverte (Etalab),fr,2014-10-03T07:46:46+00:00,2015-06-17T17:55:05+00:00,2015-07-06T20:55:02+00:00,Ministère des finances et des comptes publics,http://www.prix-carburants.gouv.fr/rubrique/opendata/,,10597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
historique_prix_carburants,Prix des carburants - Historique,"<p>Les informations sont extraites du système d’information « Prix Carburants » à J-7 et l'historique 2014.</p>
<hr> <div>Description des champs :</div>
<ul>
<li>Nom : Nom de la station</li><li>Marque : Marque de la station</li><li>Identifiant Station : Identifiant de la station</li><li>Code Postal : Code postal de la station</li><li>Présence : Présence de la station (A = autoroute, R = route)</li><li>Adresse : Adresse de la station</li><li>Ville : Ville</li><li>Heure Ouverture : Horaire d'ouverture</li><li>Heure Fermeture : Horaire de fermeture</li><li>Type Fermeture : Type de fermeture (temporaire ou définitive)</li><li>Début Fermeture : Date de début de la fermeture</li><li>Fin Fermeture : Date de fin de la fermeture</li><li>Carburant : Liste des carburants disponible</li><li>Rupture : Liste des carburants en rupture</li><li>Mise à jour : Date de la mise à jour des informations</li><li>Prix Gazole : Prix d'un litre de Gazole (en euro)</li><li>Prix SP95 : Prix d'un litre de SP95 (en euro)</li><li>Prix SP98 : Prix d'un litre de SP98 (en euro)</li><li>Prix GPLc : Prix d'un litre de GPLc (en euro)</li><li>Prix E10 : Prix d'un litre de E10 (en euro)</li><li>Prix E85 : Prix d'un litre de E85 (en euro)</li><li>Services : Liste des services proposées par la station</li></ul></hr>","Transports, Déplacements","Carburant, Prix, Voiture, Mobilité",Licence Ouverte (Etalab),fr,2014-10-03T08:16:23+00:00,2015-07-19T05:00:46+00:00,2015-07-20T05:00:01+00:00,"Ministère de l'Economie, de l'Industrie et du Numérique",http://www.prix-carburants.gouv.fr/rubrique/opendata/,,1753132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
prix_des_carburants_j_7,Prix des carburants - J-7,"<p>Les informations sont extraites du système d’information « Prix Carburants » à J-7.</p>
<hr><div>Description des champs :</div><ul>
<li>Nom : Nom de la station</li><li>Marque : Marque de la station</li><li>Identifiant Station : Identifiant de la station</li><li>Code Postal : Code postal de la station</li><li>Présence : Présence de la station (A = autoroute, R = route)</li><li>Adresse : Adresse de la station</li><li>Ville : Ville</li><li>Coordonnées : Coordonnées Géographique de la station (WSG84, latitude, longitude) </li><li>Heure Ouverture : Horaire d'ouverture</li><li>Heure Fermeture : Horaire de fermeture</li><li>Type Fermeture : Type de fermeture (temporaire ou définitive)</li><li>Début Fermeture : Date de début de la fermeture</li><li>Fin Fermeture : Date de fin de la fermeture</li><li>Carburant : Liste des carburants disponible</li><li>Rupture : Liste des carburants en rupture</li><li>Mise à jour : Date de la mise à jour des informations</li><li>Prix Gazole : Prix d'un litre de Gazole (en euro)</li><li>Prix SP95 : Prix d'un litre de SP95 (en euro)</li><li>Prix SP98 : Prix d'un litre de SP98 (en euro)</li><li>Prix GPLc : Prix d'un litre de GPLc (en euro)</li><li>Prix E10 : Prix d'un litre de E10 (en euro)</li><li>Prix E85 : Prix d'un litre de E85 (en euro)</li><li>Services : Liste des services proposées par la station</li></ul></hr>","Transports, Déplacements","Carburant, Prix, Voiture, Mobilité",Licence Ouverte (Etalab),fr,2014-10-03T08:16:23+00:00,2015-07-20T05:00:48+00:00,2015-07-20T05:00:49+00:00,"Ministère de l'Economie, de l'Industrie et du Numérique",http://www.prix-carburants.gouv.fr/rubrique/opendata/,,9825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277
gender-equality-in-europe,Gender Equality in Europe,"<p>The Gender Equality Index was initially created by the<em> European Institute for Gender Equality</em>. It measures how far (or close) the  EU-27 and its Member States were from achieving complete gender equality  in 2010. It provides results at both Member States and EU-27 level. It synthesises the complexity of gender equality in an easily interpretable measure. </p><p>The Index consists of six core domains:</p><ol><li>work</li><li>money</li><li>knowledge</li><li>time</li><li>power</li><li>health</li></ol><p>For this reuse, we did not took the two satellite domains (intersecting inequalities and violence) into account. Feel free to look at the original dataset to explore these two additional categories. </p><p>The Gender Equality  Index assigns scores for Member States, between 1,  total inequality and  100, full equality. It also provides results for  each domain and  sub-domain.</p>","Education, Training, Research, Teaching, Health, Economy, Business, SME, Economic development, Employment","gender equality, time, money, work, knowledge, health, power",http://ec.europa.eu/geninfo/legal_notices_en.htm,en,2014-10-03T15:34:18+00:00,,,European Institute for Gender Equality,http://open-data.europa.eu/en/data/dataset/gender-equality-index,,28,,,,,,,,,European Institute for Gender Equality,OpenDataSoft,,,,,,,,,,,,,,,,,,,274
sppoptotl_indicator_en_csv_v2,Population mondiale,<p>http://data.worldbank.org/indicator/SP.POP.TOTL</p>,Health,,http://www.worldbank.org/terms-datasets,en,2014-11-03T22:22:27+00:00,,,The World Bank,,,13199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
opendatasoft-netatmo-weather-station,Station Météo Netatmo d'OpenDataSoft,"<p>Historique de la station météo Netatmo d'OpenDataSoft.</p><p>La station est située au 130 rue de Lourmel, dans l'incubateur Boucicaut, au 3ème étage. Son adresse mac est <em>70:ee:50:04:a3:78.</em></p><p>Les données récupérées sont les données publiques :</p><ul>
<li>la température en degré Celcius (°C)</li><li>le pourcentage d'humidité dans l'air (%)</li><li>la pression atmosphérique en millibar (mbar)</li><li>la concentration de CO2 dans l'air en parties par million (ppm) </li><li>le niveau sonore en décibel (db)</li></ul><p>Notre station n'est pas équipée du module pluviomètre et possède un seul module additionel.</p>",Environnement,"meteo, netatmo, weather station",Netatmo,fr,2014-11-05T09:33:13+00:00,,,OpenDataSoft,http://www.netatmo.com,,9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
carte-des-stations-netatmo-en-france,Carte des stations Netatmo en France,<p>Carte des stations météo Netatmo en France.</p><p>Les données récupérées sont les données disponibles publiquement:</p><ul><li>la température en degré Celcius (°C)</li><li>le pourcentage d'humidité dans l'air (%)</li><li>la pression atmosphérique en millibar (mbar)</li><li>la pluie en direct en millimètre (mm) </li><li>la pluie sur les dernières 24 heures en millimètre (mm)</li><li>la pluie sur les dernières 60 minutes en millimètre (mm)</li><li>l'altitude de la station en mètre (m)</li></ul>,Environnement,"meteo, netatmo, weather map, weather station",Netatmo,fr,2014-11-05T09:33:13+00:00,,,OpenDataSoft,http://www.netatmo.com,,14177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago_incidents_2001_present,Incidents in Chicago from 2001 to Present,<p>List of incidents in Chicago from 2001 to present. Built from https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-present/ijzp-q8t2.</p>,"Justice, Safety, Police, Crime",,,en,2014-11-07T07:14:12+00:00,2015-06-18T10:55:03+00:00,2015-07-03T12:55:03+00:00,Chicago Police Department,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-present/ijzp-q8t2,,4716834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
population-francaise-region-2011,Population française - Régions - 2011,"<p>Population légale par région issue du recensement de la population de 2011</p>
<hr><div><strong><em style=""background-color: initial;"">Population municipale</em> :</strong><br/></div>
<div>La population municipale comprend les personnes ayant leur résidence habituelle sur le territoire de la commune, dans un logement ou une communauté, les personnes détenues dans les établissements pénitentiaires de la commune, les personnes sans abri recensées sur le territoire de la commune et les personnes résidant habituellement dans une habitation mobile recensées sur le territoire de la commune.</div>
<div><em><br/></em></div><div><strong><em>Population comptée à part</em> :</strong></div>
<div>La population comptée à part comprend certaines personnes dont la résidence habituelle est dans une autre commune mais qui ont conservé une résidence sur le territoire de la commune :</div><ul>
<li>les personnes mineures dont la résidence familiale est dans une autre commune mais qui résident, du fait de leurs études, dans la commune</li><li>les personnes ayant une résidence familiale sur le territoire de la commune et résidant dans une communauté d’une autre commune ; la communauté faisant partie de la liste suivante :
<ul>
<li>services de moyen ou de long séjour des établissements publics ou privés de santé, établissements sociaux de moyen ou de long séjour,maisons de retraite, foyers et résidences sociales ;</li><li>commaunautés religieuses ;</li><li>casernes ou établissements militaires ;</li></ul></li><li>les personnes majeures âgées de moins de 25 ans ayant leur résidence familiale sur le territoire de la commune et qui résident dans une autre commune pour leurs études ;</li><li>les personnes sans domicile fixe rattachées à la commune au sens de la loi du 3 janvier 1969 et non recensées dans la commune.</li></ul><div><em><br/></em></div><div><strong><em>Population totale </em>:</strong></div>
<div>La population totale est la somme de la population municipale et de la population comptée à part.</div></hr>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Recensement, Population, Région",Insee,fr,2014-11-13T16:24:49+00:00,,,INSEE,http://www.insee.fr/fr/ppp/bases-de-donnees/recensement/populations-legales/france-departements.asp?annee=2011,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
population-francaise-departements-2011,Population française - Départements - 2011,"<p>Population légale par département issue du recensement de la population de 2011</p>
<hr><div><strong><em>Population municipale</em> :</strong><div>La population municipale comprend les personnes ayant leur résidence habituelle sur le territoire de la commune, dans un logement ou une communauté, les personnes détenues dans les établissements pénitentiaires de la commune, les personnes sans abri recensées sur le territoire de la commune et les personnes résidant habituellement dans une habitation mobile recensées sur le territoire de la commune.</div> <br><div><strong><em>Population comptée à part</em> :</strong></div> <div>La population comptée à part comprend certaines personnes dont la résidence habituelle est dans une autre commune mais qui ont conservé une résidence sur le territoire de la commune :</div><ul> <li>les personnes mineures dont la résidence familiale est dans une autre commune mais qui résident, du fait de leurs études, dans la commune</li><li>les personnes ayant une résidence familiale sur le territoire de la commune et résidant dans une communauté d’une autre commune ; la communauté faisant partie de la liste suivante : <ul> <li>services de moyen ou de long séjour des établissements publics ou privés de santé, établissements sociaux de moyen ou de long séjour,maisons de retraite, foyers et résidences sociales ;</li><li>commaunautés religieuses ;</li><li>casernes ou établissements militaires ;</li></ul></li><li>les personnes majeures âgées de moins de 25 ans ayant leur résidence familiale sur le territoire de la commune et qui résident dans une autre commune pour leurs études ;</li><li>les personnes sans domicile fixe rattachées à la commune au sens de la loi du 3 janvier 1969 et non recensées dans la commune.</li></ul><div><strong><em>Population totale </em>:</strong></div> <div>La population totale est la somme de la population municipale et de la population comptée à part.</div></br></div></hr>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Recensement, Population, Département",Insee,fr,2014-11-13T16:24:49+00:00,2015-06-19T16:55:00+00:00,2015-07-17T09:55:02+00:00,INSEE,http://www.insee.fr/fr/ppp/bases-de-donnees/recensement/populations-legales/france-departements.asp?annee=2011,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
population-francaise-des-communes-2011,Population française - Communes - 2011,"<p>Population légale par commune issue du recensement de la population de 2011</p>
<hr><div><strong><em>Population municipale</em> :</strong><div>La population municipale comprend les personnes ayant leur résidence habituelle sur le territoire de la commune, dans un logement ou une communauté, les personnes détenues dans les établissements pénitentiaires de la commune, les personnes sans abri recensées sur le territoire de la commune et les personnes résidant habituellement dans une habitation mobile recensées sur le territoire de la commune.</div> <br><div><strong><em>Population comptée à part</em> :</strong></div> <div>La population comptée à part comprend certaines personnes dont la résidence habituelle est dans une autre commune mais qui ont conservé une résidence sur le territoire de la commune :</div><ul> <li>les personnes mineures dont la résidence familiale est dans une autre commune mais qui résident, du fait de leurs études, dans la commune</li><li>les personnes ayant une résidence familiale sur le territoire de la commune et résidant dans une communauté d’une autre commune ; la communauté faisant partie de la liste suivante : <ul> <li>services de moyen ou de long séjour des établissements publics ou privés de santé, établissements sociaux de moyen ou de long séjour,maisons de retraite, foyers et résidences sociales ;</li><li>commaunautés religieuses ;</li><li>casernes ou établissements militaires ;</li></ul></li><li>les personnes majeures âgées de moins de 25 ans ayant leur résidence familiale sur le territoire de la commune et qui résident dans une autre commune pour leurs études ;</li><li>les personnes sans domicile fixe rattachées à la commune au sens de la loi du 3 janvier 1969 et non recensées dans la commune.</li></ul><div><strong><em>Population totale </em>:</strong></div> <div>La population totale est la somme de la population municipale et de la population comptée à part.</div></br></div></hr>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Recensement, Population, Commune",Insee,fr,2014-11-13T16:24:49+00:00,2015-06-16T12:55:03+00:00,2015-07-17T23:55:01+00:00,INSEE,http://www.insee.fr/fr/ppp/bases-de-donnees/recensement/populations-legales/france-departements.asp?annee=2011,,36706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
c_reseau_tmja2010_compresse_classes_mja2010,Trafic routier moyen journalier en Ile de France maj 2010,,"Transports, Déplacements, Environnement","mobilité, trafic",,fr,2014-11-13T21:49:10+00:00,,,"Ministère de l'Écologie, du Développement durable et de l'Énergie",http://cartelie.application.developpement-durable.gouv.fr/cartelie/voir.do?carte=TMJA2010_cartelie_v.2bis&service=DRIEA_IF,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
geoflar-communes-2013,GEOFLA®  Communes - 2013,"<p>GEOFLA® Communes décrit le découpage administratif au niveau communal. </p><div><hr/></div><ul><li>Code géographique de la commune : <strong>CODE_COMM</strong></li></ul> <div>Type : chaîne de caractères. </div> <div>Il s'agit du code géographique permettant d'identifier la commune dans son département </div> <div>d'appartenance (texte de trois caractères). </div> <ul><li>Numéro INSEE de la commune : <strong>INSEE_COM</strong></li></ul> <div>Type : chaîne de caractères. </div> <div>Il s'agit d’un numéro de 5 caractères : le code du département suivi du code géographique </div> <div>de la commune. Pour les DOM, le 3ème caractère est commun au n° de département et au n° </div> <div>de commune. </div> <ul><li>Nom : <b style=""background-color: initial;"">NOM_COMM</b></li></ul> <div>Type : chaîne de caractères. </div> <div>Nom de la commune (source INSEE). C'est un texte en majuscules non accentuées d'au </div> <div>plus 50 caractères.</div><ul><li>Statut administratif : <b style=""background-color: initial;"">STATUT</b></li></ul> <div>Type : énuméré. </div> <div>Valeurs possibles :</div><ul><li><ul><li><span style=""background-color: initial;"">Capitale d'État<br/></span></li><li>Préfecture de région</li><li>Préfecture de département</li><li>Sous-préfecture</li><li>Chef-lieu de canton</li><li>Commune simple</li></ul></li><li>Abscisse du chef-lieu : <strong>X_CHF_LIEU</strong></li></ul> <div>Type : entier </div> <div>Abscisse du chef-lieu de la commune (en hectomètres). </div> <ul><li>Ordonnée du chef-lieu : <strong>Y_CHF_LIEU</strong></li></ul> <div>Type : entier </div> <div>Ordonnée du chef-lieu de la commune (en hectomètres). </div> <ul><li>Abscisse du centroïde1 : <strong>X_CENTROID</strong></li></ul> <div>Type : entier </div> <div>Abscisse du centroïde de la commune (en hectomètres). </div> <ul><li>Ordonnée du centroïde1 : <strong>Y_CENTROID</strong></li></ul> <div>Type : entier </div> <div>Ordonnée du centroïde de la commune (en hectomètres). </div> <ul><li>Altitude2 moyenne : <strong>Z_MOYEN</strong></li></ul> <div>Type : entier </div> <div>Altitude moyenne de la commune (en mètres). </div> <ul><li>Superficie : <b style=""background-color: initial;"">SUPERFICIE</b></li></ul> <div>Type : entier </div> <div>Superficie de la commune en hectares. C'est la somme des surfaces des faces BD CARTO®</div> <div>composant la commune (avant allégement géométrique et suppression des îles et </div> <div>enclaves). </div> <ul><li>Population : <b style=""background-color: initial;"">POPULATION</b></li></ul> <div>Type : décimal </div> <div>Chiffre de population sans doubles comptes au dernier recensement, en milliers d'habitants, </div> <div>à une décimale. Pour Mayotte, ce chiffre provient du recensement de 1997. </div> <ul><li>Code géographique du canton : <b style=""background-color: initial;"">CODE_CANT</b></li></ul> <div>Type : chaîne de caractères </div> <div>Code géographique du canton auquel appartient la commune (texte de deux caractères). </div> <ul><li>Code géographique de l'arrondissement : <strong>CODE_ARR</strong></li></ul> <div>Type : chaîne de caractères </div> <div>Code géographique de l'arrondissement auquel appartient la commune (texte d'un </div> <div>caractère). Ce champ est vide pour les communes de Mayotte : il n’y a pas </div> <div>d’arrondissement dans cette collectivité départementale </div> <ul><li>Code géographique du département : <strong>CODE_DEPT</strong></li></ul> <div>Type : chaîne de caractères </div> <div>Code géographique du département auquel appartient la commune (texte de deux </div> <div>caractères). </div> <ul><li>Nom du département : <strong>NOM_DEPT</strong></li></ul> <div>Type : chaîne de caractères </div> <div>Nom du département auquel appartient la commune. C'est un texte en majuscules non </div> <div>accentuées d'au plus 30 caractères. </div> <ul><li>Code géographique de la région : <b style=""background-color: initial;"">CODE_REG</b></li></ul> <div>Type : chaîne de caractères </div> <div>Code géographique de la région à laquelle appartient la commune (texte de deux </div> <div>caractères). </div> <ul><li>Nom de la région : <strong>NOM_REGION</strong></li></ul> <div>Type : chaîne de caractères </div> <div>Nom de la région à laquelle appartient la commune. C'est un texte en majuscules non </div> <div>accentuées d'au plus 30 caractères. </div>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Geofla, Communes, Découpage, INSEE",Licence Ouverte (Etalab),fr,2014-11-14T13:57:13+00:00,2015-06-17T17:55:06+00:00,2015-07-17T10:55:02+00:00,IGN,http://professionnels.ign.fr/geofla,,36723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
code-insee-postaux-geoflar,Base officielle des codes postaux croisée avec  Geofla® - Communes 2013,"<p>Base officielle des codes postaux croisée avec les donnée GEOFLA® Communes.</p><p>Geofla contient uniquement les données pour la France métropolitaine, la Guadeloupe, la Martinique, la Guyane, la Réunion et Mayotte. Les territoires d'outre-mer et Monaco n'ont pas de correspondance.</p><hr>
<p><strong>Champs La Poste :</strong></p><ul>
<li>Le code commune INSEE : <strong>CODE INSEE</strong></li><li>Le nom de la commune : <strong>NOM DE LA COMMUNE</strong></li><li>Le code postal : <strong>CODE POSTAL</strong></li><li>Le libellé d’acheminement : <strong>LIBELLE D'ACHEMINEMENT</strong></li></ul><p><strong>Champs Geofla :</strong></p><ul>
<li>Code géographique de la commune : <strong>CODE_COMM</strong></li></ul>
<div>
	Type : chaîne de caractères.
</div>
<div>
	Il s'agit du code géographique permettant d'identifier la commune dans son département
</div>
<div>
	d'appartenance (texte de trois caractères).
</div><ul><li>Numéro INSEE de la commune : <strong>INSEE_COM</strong></li></ul>
<div>
	Type : chaîne de caractères.
</div>
<div>
	Il s'agit d’un numéro de 5 caractères : le code du département suivi du code géographique
</div>
<div>
	de la commune. Pour les DOM, le 3ème caractère est commun au n° de département et au n°
</div>
<div>
	de commune.
</div><ul><li>Nom : <strong>NOM_COMM</strong></li></ul>
<div>
	Type : chaîne de caractères.
</div>
<div>
	Nom de la commune (source INSEE). C'est un texte en majuscules non accentuées d'au
</div>
<div>
	plus 50 caractères.
</div><ul><li>Statut administratif : <strong>STATUT</strong></li></ul>
<div>
	Type : énuméré.
</div>
<div>
	Valeurs possibles :
</div><ul><li><ul><li>Capitale d'État</li><li>Préfecture de région</li><li>Préfecture de département</li><li>Sous-préfecture</li><li>Chef-lieu de canton</li><li>Commune simple</li> </ul></li><li>Abscisse du chef-lieu : <strong>X_CHF_LIEU</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Abscisse du chef-lieu de la commune (en hectomètres).
</div><ul><li>Ordonnée du chef-lieu : <strong>Y_CHF_LIEU</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Ordonnée du chef-lieu de la commune (en hectomètres).
</div><ul><li>Abscisse du centroïde1 : <strong>X_CENTROID</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Abscisse du centroïde de la commune (en hectomètres).
</div><ul><li>Ordonnée du centroïde1 : <strong>Y_CENTROID</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Ordonnée du centroïde de la commune (en hectomètres).
</div><ul><li>Altitude2 moyenne : <strong>Z_MOYEN</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Altitude moyenne de la commune (en mètres).
</div><ul><li>Superficie : <strong>SUPERFICIE</strong></li></ul>
<div>
	Type : entier
</div>
<div>
	Superficie de la commune en hectares. C'est la somme des surfaces des faces BD CARTO®
</div>
<div>
	composant la commune (avant allégement géométrique et suppression des îles et
</div>
<div>
	enclaves).
</div><ul><li>Population : <strong>POPULATION</strong></li></ul>
<div>
	Type : décimal
</div>
<div>
	Chiffre de population sans doubles comptes au dernier recensement, en milliers d'habitants,
</div>
<div>
	à une décimale. Pour Mayotte, ce chiffre provient du recensement de 1997.
</div><ul><li>Code géographique du canton : <strong>CODE_CANT</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Code géographique du canton auquel appartient la commune (texte de deux caractères).
</div><ul><li>Code géographique de l'arrondissement : <strong>CODE_ARR</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Code géographique de l'arrondissement auquel appartient la commune (texte d'un
</div>
<div>
	caractère). Ce champ est vide pour les communes de Mayotte : il n’y a pas
</div>
<div>
	d’arrondissement dans cette collectivité départementale
</div><ul><li>Code géographique du département : <strong>CODE_DEPT</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Code géographique du département auquel appartient la commune (texte de deux
</div>
<div>
	caractères).
</div><ul><li>Nom du département : <strong>NOM_DEPT</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Nom du département auquel appartient la commune. C'est un texte en majuscules non
</div>
<div>
	accentuées d'au plus 30 caractères.
</div><ul><li>Code géographique de la région : <strong>CODE_REG</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Code géographique de la région à laquelle appartient la commune (texte de deux
</div>
<div>
	caractères).
</div><ul><li>Nom de la région : <strong>NOM_REGION</strong></li></ul>
<div>
	Type : chaîne de caractères
</div>
<div>
	Nom de la région à laquelle appartient la commune. C'est un texte en majuscules non
</div>
<div>
	accentuées d'au plus 30 caractères. 
</div></hr>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Administration, Gouvernement, Finances publiques, Citoyenneté","INSEE, Code Postaux, Correspondance, La Poste",Licence Ouverte (Etalab),fr,2014-11-14T14:13:04+00:00,2015-06-26T01:55:01+00:00,2015-07-17T16:55:01+00:00,OpenDataSoft,https://www.data.gouv.fr/fr/datasets/base-officielle-des-codes-postaux/,,37173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047
